n,o,l
E06000013,8.52461,17.0
E06000054,10.490127,10.0
E08000027,17.767424,7.0
E10000024,30.515364,6.0
E06000042,11.596195,4.0
E09000023,15.680341,4.0
E08000010,30.841862,20.0
E09000020,6.9403806,1.0
E06000051,10.527721,11.0
E10000014,82.443275,27.0
E06000057,11.975593,3.0
E06000005,35.471363,2.0
E06000055,12.182338,5.0
E08000008,15.627592,11.0
E08000019,50.339447,38.0
E08000005,19.967356,4.0
E08000021,28.389757,11.0
E08000033,5.51527,4.0
E09000016,24.332281,1.0
E08000031,26.275488,5.0
E09000006,9.0822935,3.0
E06000045,5.6269984,3.0
E06000034,19.103971,16.0
E10000003,16.024515,8.0
E06000052,15.091018,3.0
E08000034,6.336652,0.0
E09000027,22.076845,1.0
E06000016,9.414472,0.0
E06000006,44.707012,7.0
E08000024,52.6593,14.0
E10000006,14.311189,2.0
E08000013,13.737079,0.0
E09000018,12.832238,8.0
E06000021,15.130791,5.0
E06000002,11.288091,12.0
E09000009,32.889027,5.0
E06000009,29.281178,10.0
E10000021,12.551738,3.0
E10000027,22.11398,8.0
E10000002,21.608961,4.0
E10000018,3.9912486,0.0
E09000001,4.53162,4.0
E10000007,28.257685,62.0
E08000026,17.273676,2.0
E10000015,69.707344,18.0
E08000023,13.706979,6.0
E06000049,28.73615,12.0
E08000003,50.145596,17.0
E08000025,59.04506,32.0
E09000029,17.745283,4.0
E09000017,19.344917,4.0
E09000002,11.468156,1.0
E10000032,36.764225,14.0
E10000020,14.222421,2.0
E08000022,50.239853,21.0
E08000004,35.02935,8.0
E08000007,27.453169,12.0
E06000056,16.88429,3.0
E06000033,5.9418373,4.0
E10000030,77.93911,16.0
E06000040,3.8022785,9.0
E10000008,24.627523,7.0
E09000021,28.454298,9.0
E08000014,8.90391,3.0
E06000014,4.838707,7.0
E10000016,109.78484,54.0
E06000008,10.323145,3.0
E10000023,27.801146,30.0
E10000017,91.93535,41.0
E09000015,21.706827,5.0
E08000011,16.027739,5.0
E06000041,8.452965,5.0
E08000035,45.2892,21.0
E06000035,21.896358,7.0
E10000011,17.16021,16.0
E06000012,4.0186305,0.0
E06000047,53.953045,17.0
E06000007,22.143188,7.0
E10000029,30.08063,25.0
E06000030,12.655137,3.0
E06000038,17.592127,3.0
E08000009,18.570005,8.0
E06000011,15.144909,20.0
E08000015,38.23081,12.0
E06000043,10.047906,4.0
E10000025,50.864426,23.0
E06000018,13.479268,0.0
E10000013,46.736095,7.0
E08000037,32.852985,3.0
E08000002,22.91562,5.0
E06000026,4.73033,3.0
E06000017,3.736037,0.0
E06000027,2.1307037,0.0
E06000022,6.292683,3.0
E10000031,32.366924,16.0
E06000024,4.024767,1.0
E06000046,4.046407,0.0
E09000026,21.29078,1.0
E06000050,24.99357,8.0
E06000059,5.769412,2.0
E06000031,3.814959,12.0
E10000019,26.143538,13.0
E06000044,7.4182806,5.0
E09000008,34.07713,9.0
E08000030,17.510632,17.0
E10000012,70.79765,48.0
E09000022,32.374516,2.0
E06000003,8.447595,2.0
E06000004,9.042991,9.0
E08000018,20.116674,9.0
E08000036,16.777777,11.0
E09000003,28.535265,5.0
E08000016,21.595194,14.0
E09000004,15.546748,3.0
E08000001,31.884155,7.0
E08000012,49.513912,14.0
E06000032,24.035933,0.0
E09000005,30.934237,4.0
E10000034,34.96345,20.0
E06000001,3.9254384,7.0
E08000032,25.9751,18.0
E06000015,9.409636,22.0
E06000037,6.788077,3.0
E09000010,26.61385,3.0
E06000039,9.98451,6.0
E08000017,5.591896,18.0
E10000028,47.572365,24.0
E06000020,2.721735,6.0
E06000036,15.199447,14.0
