n,o,l
avila,33.355877,34.0
cadiz,48.865253,14.0
ciudad_real,0.28245947,0.0
soria,51.432953,26.0
huelva,23.99186,8.0
bizkaia,290.08688,259.0
jaen,52.703617,42.0
guadalajara,0.28246838,0.0
badajoz,32.00377,61.0
leon,63.34753,58.0
malaga,90.70947,16.0
segovia,69.2927,101.0
albacete,0.54524535,0.0
gipuzkoa,50.047997,71.0
alicante,167.4436,112.0
burgos,42.909775,46.0
tarragona,70.2127,0.0
cuenca,0.2826437,0.0
valladolid,77.813576,139.0
toledo,92.08076,82.0
caceres,54.84665,152.0
araba/alava,0.28243494,0.0
girona,117.31902,0.0
zamora,1140.3079,895.0
cordoba,68.45631,20.0
barcelona,25.168087,38.0
lleida,56.917732,53.0
castellon,44.10871,76.0
valencia,171.93991,179.0
granada,74.39816,39.0
salamanca,88.54438,95.0
almeria,19.335052,3.0
palencia,34.10276,47.0
sevilla,87.348076,60.0
