n,o,l
hautes_pyrenees,1.8508779,8.0
paris,202.00584,125.0
loire,0.0,0.0
landes,0.27367216,1.0
charente_maritime,1.7730875,1.0
ardeche,6.1865935,4.0
doubs,9.972683,13.0
aube,11.161803,28.0
essonne,84.98918,101.0
meurthe_et_moselle,2.4415255,9.0
drome,9.628381,0.0
dordogne,0.57878053,0.0
moselle,7.244278,90.0
tarn,0.0,2.0
lot,1.1959281,1.0
hauts_de_seine,124.19064,102.0
pas_de_calais,4.511185,20.0
marne,9.417938,16.0
puy_de_dome,5.6049156,10.0
mayenne,0.0,1.0
val_de_marne,47.28659,95.0
pyrenees_atlantiques,17.134142,19.0
bas_rhin,6.691907,3.0
herault,77.41104,20.0
bouches_du_rhone,138.7006,166.0
alpes_maritimes,9.871191,4.0
charente,0.33905295,4.0
eure,6.4671965,27.0
correze,0.3458819,3.0
haute_savoie,38.962997,14.0
seine_et_marne,34.47367,84.0
rhone,21.023298,12.0
ain,7.5908217,11.0
haute_garonne,14.101101,6.0
jura,0.0,1.0
saone_et_loire,3.2289903,14.0
indre,2.7796712,15.0
pyrenees_orientales,0.50209427,2.0
ardennes,0.5714993,3.0
haut_rhin,35.703026,67.0
haute_saone,11.772725,8.0
meuse,0.0,6.0
isere,14.98161,4.0
territoire_de_belfort,6.2740912,9.0
cher,14.432368,31.0
loir_et_cher,4.5136666,1.0
seine_maritime,15.748579,13.0
val_d'oise,138.94753,45.0
aisne,1.4943875,21.0
oise,36.683804,69.0
cote_d'or,1.3109254,2.0
vosges,15.659837,17.0
nord,9.309158,32.0
gironde,16.51637,12.0
yonne,2.5457003,1.0
lot_et_garonne,0.30631855,1.0
yvelines,36.508488,50.0
gers,3.2289307,5.0
savoie,1.0198073,4.0
loire_atlantique,0.87355006,0.0
alpes_de_haute_provence,0.3878921,0.0
haute_marne,0.33263946,1.0
eure_et_loir,12.085078,33.0
seine_saint_denis,94.82549,73.0
maine_et_loire,0.0,0.0
manche,1.7426738,4.0
calvados,7.6711493,4.0
somme,11.993855,20.0
nievre,0.47954157,8.0
vienne,0.0,0.0
cantal,0.0,0.0
tarn_et_garonne,2.2807868,21.0
haute_loire,0.06335438,0.0
indre_et_loire,3.6876261,5.0
vaucluse,18.166138,32.0
var,7.478644,8.0
orne,3.207363,4.0
haute_vienne,0.6048918,2.0
aude,7.4085517,12.0
loiret,10.096815,21.0
gard,4.329101,6.0
