n,o,l
E06000013,8.161196,20.0
E06000054,6.830217,7.0
E08000027,16.320156,14.0
E10000024,28.679867,24.0
E06000042,7.6460404,5.0
E09000023,12.83369,10.0
E08000010,24.050846,23.0
E09000020,1.4215018,0.0
E06000051,9.877391,18.0
E10000014,68.8184,54.0
E06000057,20.66854,21.0
E06000005,3.4714584,8.0
E06000055,9.764731,12.0
E08000008,8.764011,10.0
E08000019,42.567955,42.0
E08000005,11.445565,13.0
E08000021,14.870518,20.0
E08000033,2.2175255,5.0
E09000016,9.499914,7.0
E08000031,16.162386,36.0
E09000006,8.466909,17.0
E06000045,0.9162411,7.0
E06000034,14.976183,2.0
E10000003,10.593804,15.0
E06000052,9.405024,7.0
E08000034,2.2310266,28.0
E09000027,7.946184,3.0
E06000016,3.5567865,16.0
E06000006,27.531721,5.0
E08000024,31.153057,21.0
E10000006,13.107137,42.0
E08000013,7.0790715,20.0
E09000018,7.6231656,6.0
E06000021,9.612432,21.0
E06000002,8.333511,9.0
E09000009,17.630966,18.0
E06000009,17.16928,14.0
E10000021,17.310461,12.0
E10000027,16.919044,13.0
E10000002,23.786182,22.0
E10000018,0.0,21.0
E09000001,3.0363867,0.0
E10000007,23.615551,41.0
E08000026,12.201502,9.0
E10000015,46.79444,40.0
E08000023,16.997242,29.0
E06000049,22.20752,28.0
E08000003,23.160316,29.0
E08000025,68.71841,46.0
E09000029,14.990612,9.0
E09000017,9.540793,8.0
E09000002,5.698013,2.0
E10000032,31.199455,27.0
E10000020,5.52669,47.0
E08000022,43.515965,9.0
E08000004,16.204634,10.0
E08000007,15.6774025,19.0
E06000056,9.023596,11.0
E06000033,0.7780928,4.0
E10000030,68.60096,51.0
E06000040,3.6355538,5.0
E10000008,19.535954,12.0
E09000021,19.071278,10.0
E08000014,7.682409,5.0
E06000014,3.4376557,9.0
E10000016,131.0664,111.0
E06000008,5.132207,8.0
E10000023,18.157602,42.0
E10000017,74.19924,66.0
E09000015,10.353979,12.0
E08000011,12.037983,10.0
E06000041,11.144445,8.0
E08000035,37.059383,69.0
E06000035,10.594254,15.0
E10000011,9.187584,7.0
E06000012,0.20638809,3.0
E06000047,32.792984,41.0
E06000007,11.854464,8.0
E10000029,26.796474,46.0
E06000030,7.921839,7.0
E06000038,19.130386,11.0
E08000009,8.960266,12.0
E06000011,12.859476,26.0
E08000015,26.072239,23.0
E06000043,6.7810473,2.0
E10000025,38.218052,42.0
E06000018,8.420722,17.0
E10000013,31.898169,28.0
E08000037,14.250639,24.0
E08000002,13.9971285,20.0
E06000026,2.7877748,3.0
E06000017,0.0,1.0
E06000027,0.47507256,0.0
E06000022,1.0969663,5.0
E10000031,21.60963,34.0
E06000024,2.0335276,6.0
E06000046,0.0,9.0
E09000026,7.83392,3.0
E06000050,16.702934,19.0
E06000059,1.3356653,2.0
E06000031,2.9220808,7.0
E10000019,20.864637,23.0
E06000044,3.2800882,6.0
E09000008,22.83025,14.0
E08000030,17.016726,45.0
E10000012,47.18405,90.0
E09000022,10.076416,11.0
E06000003,2.4420831,11.0
E06000004,3.2713485,5.0
E08000018,15.563551,23.0
E08000036,8.761195,8.0
E09000003,10.989256,10.0
E08000016,12.637682,8.0
E09000004,8.794953,9.0
E08000001,21.175316,14.0
E08000012,30.261889,28.0
E06000032,11.178876,11.0
E09000005,21.989094,10.0
E10000034,32.750786,14.0
E06000001,0.25699094,9.0
E08000032,17.165308,47.0
E06000015,2.2214324,7.0
E06000037,5.961968,3.0
E09000010,16.82787,21.0
E06000039,6.083856,8.0
E08000017,10.34844,36.0
E10000028,40.46232,48.0
E06000020,1.1647865,3.0
E06000036,14.709865,4.0
