n,o,l
hautes_pyrenees,2.0989704,8.0
paris,145.89778,125.0
loire,0.0,0.0
landes,0.07632244,1.0
charente_maritime,1.812539,1.0
ardeche,0.0,4.0
doubs,4.4854994,13.0
aube,13.651641,28.0
essonne,59.509743,101.0
meurthe_et_moselle,5.8172417,9.0
drome,1.5650294,0.0
dordogne,0.0,0.0
moselle,31.773304,90.0
tarn,0.0,2.0
lot,0.0,1.0
hauts_de_seine,116.24427,102.0
pas_de_calais,10.988046,20.0
marne,14.546371,16.0
puy_de_dome,6.257345,10.0
mayenne,0.0,1.0
val_de_marne,71.68129,95.0
pyrenees_atlantiques,21.697142,19.0
bas_rhin,3.2559628,3.0
herault,45.984585,20.0
bouches_du_rhone,126.369385,166.0
alpes_maritimes,13.741867,4.0
charente,0.0,4.0
eure,7.8937225,27.0
correze,0.0,3.0
haute_savoie,20.887959,14.0
seine_et_marne,56.718884,84.0
rhone,8.242534,12.0
ain,2.3153,11.0
haute_garonne,7.6859727,6.0
jura,0.605468,1.0
saone_et_loire,5.6380568,14.0
indre,12.001297,15.0
pyrenees_orientales,0.0,2.0
ardennes,0.1645663,3.0
haut_rhin,58.592747,67.0
haute_saone,3.4769955,8.0
meuse,0.39964548,6.0
isere,0.45685205,4.0
territoire_de_belfort,2.0426784,9.0
cher,10.271271,31.0
loir_et_cher,0.0,1.0
seine_maritime,12.57044,13.0
val_d'oise,62.727177,45.0
aisne,18.829546,21.0
oise,55.57319,69.0
cote_d'or,2.4747996,2.0
vosges,22.62565,17.0
nord,7.2595096,32.0
gironde,17.60962,12.0
yonne,0.0,1.0
lot_et_garonne,0.0,1.0
yvelines,43.10086,50.0
gers,1.3922498,5.0
savoie,0.0,4.0
loire_atlantique,0.22614606,0.0
alpes_de_haute_provence,0.17683467,0.0
haute_marne,0.0,1.0
eure_et_loir,20.948164,33.0
seine_saint_denis,108.11088,73.0
maine_et_loire,0.0,0.0
manche,0.5447502,4.0
calvados,2.9215763,4.0
somme,14.454151,20.0
nievre,3.2182348,8.0
vienne,0.0,0.0
cantal,0.0,0.0
tarn_et_garonne,0.0,21.0
haute_loire,0.12443434,0.0
indre_et_loire,1.1831373,5.0
vaucluse,15.195432,32.0
var,7.060216,8.0
orne,0.0,4.0
haute_vienne,0.015234131,2.0
aude,5.8406744,12.0
loiret,17.543457,21.0
gard,12.3889885,6.0
