"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","lati.x","long.x","lati.y","long.y"
"Period 1","Africa","Europe",39,81347121,2085823.6,6.009334615,18.09028353,49.72535164,12.63523685
"Period 1","Africa","Japan/Korea",39,978126,25080.2,6.009334615,18.09028353,37.01238814,139.9873982
"Period 1","Africa","North America",39,9382236,240570.2,6.009334615,18.09028353,49.89877748,-99.95689093
"Period 1","Africa","North China",39,1250935,32075.3,6.009334615,18.09028353,38.0616808,100.6754211
"Period 1","Africa","Oceania",39,1257753,32250.1,6.009334615,18.09028353,-24.65995717,135.7238172
"Period 1","Africa","Russia",39,1064885,27304.7,6.009334615,18.09028353,59.80038836,94.30046611
"Period 1","Africa","South America",39,971179,24902,6.009334615,18.09028353,-13.71835705,-59.77519088
"Period 1","Africa","South China",39,3426118,87849.2,6.009334615,18.09028353,27.8115735,113.6023239
"Period 1","Africa","South-eastern Asia",39,2673540,68552.3,6.009334615,18.09028353,-0.198689756,114.0117086
"Period 1","Africa","Southern Asia",39,4148632,106375.2,6.009334615,18.09028353,26.98419452,71.12322501
"Period 1","Africa","Western Asia",39,41079579,1053322.5,6.009334615,18.09028353,27.67000493,43.59334869
"Period 1","Europe","Africa",39,80992670,2076735.1,49.72535164,12.63523685,6.009334615,18.09028353
"Period 1","Europe","Japan/Korea",39,17539250,449724.4,49.72535164,12.63523685,37.01238814,139.9873982
"Period 1","Europe","North America",39,117471987,3012102.2,49.72535164,12.63523685,49.89877748,-99.95689093
"Period 1","Europe","North China",39,7008357,179701.5,49.72535164,12.63523685,38.0616808,100.6754211
"Period 1","Europe","Oceania",39,10143804,260097.5,49.72535164,12.63523685,-24.65995717,135.7238172
"Period 1","Europe","Russia",39,38232688,980325.3,49.72535164,12.63523685,59.80038836,94.30046611
"Period 1","Europe","South America",39,24028140,616106.2,49.72535164,12.63523685,-13.71835705,-59.77519088
"Period 1","Europe","South China",39,20301382,520548.3,49.72535164,12.63523685,27.8115735,113.6023239
"Period 1","Europe","South-eastern Asia",39,31989243,820237,49.72535164,12.63523685,-0.198689756,114.0117086
"Period 1","Europe","Southern Asia",39,26672884,683920.1,49.72535164,12.63523685,26.98419452,71.12322501
"Period 1","Europe","Western Asia",39,111494209,2858825.9,49.72535164,12.63523685,27.67000493,43.59334869
"Period 1","Japan/Korea","Africa",39,1061472,27217.2,37.01238814,139.9873982,6.009334615,18.09028353
"Period 1","Japan/Korea","Europe",39,17685839,453483.1,37.01238814,139.9873982,49.72535164,12.63523685
"Period 1","Japan/Korea","North America",39,21371410,547984.9,37.01238814,139.9873982,49.89877748,-99.95689093
"Period 1","Japan/Korea","North China",39,22710390,582317.7,37.01238814,139.9873982,38.0616808,100.6754211
"Period 1","Japan/Korea","Oceania",39,5473575,140348.1,37.01238814,139.9873982,-24.65995717,135.7238172
"Period 1","Japan/Korea","Russia",39,2266423,58113.4,37.01238814,139.9873982,59.80038836,94.30046611
"Period 1","Japan/Korea","South America",39,809375,20753.2,37.01238814,139.9873982,-13.71835705,-59.77519088
"Period 1","Japan/Korea","South China",39,69899919,1792305.6,37.01238814,139.9873982,27.8115735,113.6023239
"Period 1","Japan/Korea","South-eastern Asia",39,58778324,1507136.5,37.01238814,139.9873982,-0.198689756,114.0117086
"Period 1","Japan/Korea","Southern Asia",39,3417965,87640.1,37.01238814,139.9873982,26.98419452,71.12322501
"Period 1","Japan/Korea","Western Asia",39,2261151,57978.2,37.01238814,139.9873982,27.67000493,43.59334869
"Period 1","North America","Africa",39,9088041,233026.7,49.89877748,-99.95689093,6.009334615,18.09028353
"Period 1","North America","Europe",39,117142684,3003658.6,49.89877748,-99.95689093,49.72535164,12.63523685
