"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","move_dir"
"Pandemic (2020/2021)","Africa","Europe",12,4827624,402302,"Africa_Europe"
"Pandemic (2020/2021)","Africa","Japan/Korea",12,40279,3356.6,"Africa_JapanKorea"
"Pandemic (2020/2021)","Africa","North America",12,541841,45153.4,"Africa_NorthAmerica"
"Pandemic (2020/2021)","Africa","North China",12,12584,1048.7,"Africa_NorthChina"
"Pandemic (2020/2021)","Africa","Oceania",12,13873,1156.1,"Africa_Oceania"
"Pandemic (2020/2021)","Africa","Russia",12,76075,6339.6,"Africa_Russia"
"Pandemic (2020/2021)","Africa","South America",12,49543,4128.6,"Africa_SouthAmerica"
"Pandemic (2020/2021)","Africa","South China",12,87457,7288.1,"Africa_SouthChina"
"Pandemic (2020/2021)","Africa","South-eastern Asia",12,124448,10370.7,"Africa_SoutheasternAsia"
"Pandemic (2020/2021)","Africa","Southern Asia",12,226755,18896.2,"Africa_SouthernAsia"
"Pandemic (2020/2021)","Africa","Western Asia",12,3262268,271855.7,"Africa_WesternAsia"
"Pandemic (2020/2021)","Europe","Africa",12,4771199,397599.9,"Europe_Africa"
"Pandemic (2020/2021)","Europe","Japan/Korea",12,463896,38658,"Europe_JapanKorea"
"Pandemic (2020/2021)","Europe","North America",12,3047094,253924.5,"Europe_NorthAmerica"
"Pandemic (2020/2021)","Europe","North China",12,96186,8015.5,"Europe_NorthChina"
"Pandemic (2020/2021)","Europe","Oceania",12,144777,12064.8,"Europe_Oceania"
"Pandemic (2020/2021)","Europe","Russia",12,2203869,183655.8,"Europe_Russia"
"Pandemic (2020/2021)","Europe","South America",12,963801,80316.8,"Europe_SouthAmerica"
"Pandemic (2020/2021)","Europe","South China",12,441464,36788.7,"Europe_SouthChina"
"Pandemic (2020/2021)","Europe","South-eastern Asia",12,682822,56901.8,"Europe_SoutheasternAsia"
"Pandemic (2020/2021)","Europe","Southern Asia",12,1495557,124629.8,"Europe_SouthernAsia"
"Pandemic (2020/2021)","Europe","Western Asia",12,7334780,611231.7,"Europe_WesternAsia"
"Pandemic (2020/2021)","Japan/Korea","Africa",12,37062,3088.5,"JapanKorea_Africa"
"Pandemic (2020/2021)","Japan/Korea","Europe",12,491577,40964.8,"JapanKorea_Europe"
"Pandemic (2020/2021)","Japan/Korea","North America",12,840930,70077.5,"JapanKorea_NorthAmerica"
"Pandemic (2020/2021)","Japan/Korea","North China",12,428037,35669.8,"JapanKorea_NorthChina"
"Pandemic (2020/2021)","Japan/Korea","Oceania",12,68262,5688.5,"JapanKorea_Oceania"
"Pandemic (2020/2021)","Japan/Korea","Russia",12,53753,4479.4,"JapanKorea_Russia"
"Pandemic (2020/2021)","Japan/Korea","South America",12,34132,2844.3,"JapanKorea_SouthAmerica"
"Pandemic (2020/2021)","Japan/Korea","South China",12,1263674,105306.2,"JapanKorea_SouthChina"
"Pandemic (2020/2021)","Japan/Korea","South-eastern Asia",12,1660665,138388.8,"JapanKorea_SoutheasternAsia"
"Pandemic (2020/2021)","Japan/Korea","Southern Asia",12,90930,7577.5,"JapanKorea_SouthernAsia"
"Pandemic (2020/2021)","Japan/Korea","Western Asia",12,147120,12260,"JapanKorea_WesternAsia"
"Pandemic (2020/2021)","North America","Africa",12,559563,46630.2,"NorthAmerica_Africa"
"Pandemic (2020/2021)","North America","Europe",12,2971708,247642.3,"NorthAmerica_Europe"
"Pandemic (2020/2021)","North America","Japan/Korea",12,899026,74918.8,"NorthAmerica_JapanKorea"
"Pandemic (2020/2021)","North America","North China",12,60906,5075.5,"NorthAmerica_NorthChina"
"Pandemic (2020/2021)","North America","Oceania",12,123732,10311,"NorthAmerica_Oceania"
"Pandemic (2020/2021)","North America","Russia",12,66802,5566.8,"NorthAmerica_Russia"
"Pandemic (2020/2021)","North America","South America",12,1431924,119327,"NorthAmerica_SouthAmerica"
"Pandemic (2020/2021)","North America","South China",12,467738,38978.2,"NorthAmerica_SouthChina"
"Pandemic (2020/2021)","North America","South-eastern Asia",12,326889,27240.8,"NorthAmerica_SoutheasternAsia"
"Pandemic (2020/2021)","North America","Southern Asia",12,760566,63380.5,"NorthAmerica_SouthernAsia"
"Pandemic (2020/2021)","North America","Western Asia",12,742627,61885.6,"NorthAmerica_WesternAsia"
"Pandemic (2020/2021)","North China","Africa",12,20769,1730.8,"NorthChina_Africa"
"Pandemic (2020/2021)","North China","Europe",12,123178,10264.8,"NorthChina_Europe"
"Pandemic (2020/2021)","North China","Japan/Korea",12,461358,38446.5,"NorthChina_JapanKorea"
"Pandemic (2020/2021)","North China","North America",12,73961,6163.4,"NorthChina_NorthAmerica"
"Pandemic (2020/2021)","North China","Oceania",12,30780,2565,"NorthChina_Oceania"
"Pandemic (2020/2021)","North China","Russia",12,10204,850.3,"NorthChina_Russia"
"Pandemic (2020/2021)","North China","South America",12,1413,117.8,"NorthChina_SouthAmerica"
"Pandemic (2020/2021)","North China","South China",12,84894375,7074531.2,"NorthChina_SouthChina"
"Pandemic (2020/2021)","North China","South-eastern Asia",12,237493,19791.1,"NorthChina_SoutheasternAsia"
"Pandemic (2020/2021)","North China","Southern Asia",12,45095,3757.9,"NorthChina_SouthernAsia"
"Pandemic (2020/2021)","North China","Western Asia",12,40687,3390.6,"NorthChina_WesternAsia"
"Pandemic (2020/2021)","Oceania","Africa",12,13409,1117.4,"Oceania_Africa"
"Pandemic (2020/2021)","Oceania","Europe",12,198040,16503.3,"Oceania_Europe"
"Pandemic (2020/2021)","Oceania","Japan/Korea",12,81759,6813.2,"Oceania_JapanKorea"
"Pandemic (2020/2021)","Oceania","North America",12,122170,10180.8,"Oceania_NorthAmerica"
"Pandemic (2020/2021)","Oceania","North China",12,23337,1944.8,"Oceania_NorthChina"
"Pandemic (2020/2021)","Oceania","Russia",12,1113,92.8,"Oceania_Russia"
"Pandemic (2020/2021)","Oceania","South America",12,7318,609.8,"Oceania_SouthAmerica"
"Pandemic (2020/2021)","Oceania","South China",12,187039,15586.6,"Oceania_SouthChina"
"Pandemic (2020/2021)","Oceania","South-eastern Asia",12,215100,17925,"Oceania_SoutheasternAsia"
"Pandemic (2020/2021)","Oceania","Southern Asia",12,66677,5556.4,"Oceania_SouthernAsia"
"Pandemic (2020/2021)","Oceania","Western Asia",12,91115,7592.9,"Oceania_WesternAsia"
"Pandemic (2020/2021)","Russia","Africa",12,88189,7349.1,"Russia_Africa"
"Pandemic (2020/2021)","Russia","Europe",12,2235101,186258.4,"Russia_Europe"
"Pandemic (2020/2021)","Russia","Japan/Korea",12,67442,5620.2,"Russia_JapanKorea"
"Pandemic (2020/2021)","Russia","North America",12,67553,5629.4,"Russia_NorthAmerica"
"Pandemic (2020/2021)","Russia","North China",12,9477,789.8,"Russia_NorthChina"
"Pandemic (2020/2021)","Russia","Oceania",12,1218,101.5,"Russia_Oceania"
"Pandemic (2020/2021)","Russia","South America",12,6388,532.3,"Russia_SouthAmerica"
"Pandemic (2020/2021)","Russia","South China",12,20464,1705.3,"Russia_SouthChina"
"Pandemic (2020/2021)","Russia","South-eastern Asia",12,41498,3458.2,"Russia_SoutheasternAsia"
"Pandemic (2020/2021)","Russia","Southern Asia",12,108718,9059.8,"Russia_SouthernAsia"
