"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","flu_num","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","flu_num_roll","test_roll","diff"
"Africa",770,0,0,0,66,66,66,35,13.5243416490253,55.9122626487197,29,8.08773735128027,50.4756583509747,130,"2016-12-19",0.800000000000002,0.61000000000002,0.989999999999998,50.8,50.61,50.99,28.0633333333333,12.8201061530944,42.8319353367067,19.9366666666667,5.16806466329327,35.1798938469055,99.6,719,7
"Africa",662,0,0,0,54,54,54,11,1.5,20.5,10,0.5,19.5,75,"2016-12-26",1.37777777777778,1.22548322099998,1.62120773670016,49.8222222222222,49.5787922632998,49.974516779,28.59,14.8082831993381,41.5057866999878,16.61,3.69421330001223,30.3917168006619,96.4,731.2,7
"Africa",846,2,2,2,42,42,42,37.5666666666667,24.1337873426257,49.4058177934735,14.4333333333333,2.59418220652647,27.8662126573743,96,"2017-01-02",1.37777777777778,1.22548322099998,1.62120773670016,47.4222222222222,47.1787922632998,47.574516779,29.2733333333333,15.3460733445319,42.3004471463679,15.9266666666667,2.8995528536321,29.8539266554681,94,771.4,7
"Africa",758,4.88888888888889,4.12741610499978,6.10603868350083,43.1111111111111,41.8939613164992,43.8725838950002,34.6333333333333,23.8908852312183,43.4192568164052,10.3666666666667,1.5807431835948,21.1091147687817,93,"2017-01-09",1.57777777777778,1.42548322099998,1.82120773670016,41.4222222222222,41.1787922632998,41.574516779,29.4733333333333,15.2812050147268,42.877994616624,15.1266666666667,1.72200538337604,29.3187949852732,87.6,824.6,7
"Africa",821,0,0,0,32,32,32,28.1666666666667,13.68135249979,42.2648984732411,15.8333333333333,1.73510152675894,30.31864750021,76,"2017-01-16",1.57777777777778,1.42548322099998,1.82120773670016,35.2222222222222,34.9787922632998,35.374516779,32.9733333333333,17.2820871433123,47.6179101062324,16.8266666666667,2.18208989376758,32.5179128566877,86.6,867.4,7
"Africa",1036,1,1,1,36,36,36,36,13.2,58.8,25,2.2,47.8,98,"2017-01-23",1.71111111111111,1.45710599760166,2.01869191328148,31.2888888888889,30.9813080867185,31.5428940023983,28.7933333333333,13.7579087918806,43.2886326645293,16.6066666666667,2.1113673354707,31.6420912081194,78.4,889.6,7
"Africa",876,0,0,0,23,23,23,28.5,11.5044106429277,44.1995774480423,18.5,2.80042255195768,35.4955893570723,70,"2017-01-30",0.933333333333335,0.831622776601704,0.997484176581313,25.8666666666667,25.8025158234187,25.9683772233983,27.1666666666667,10.764731745637,43.4197813012483,18.4333333333333,2.18021869875174,34.835268254363,72.4,924.2,7
"Africa",957,2.66666666666667,2.15811388300842,2.98742088290657,22.3333333333333,22.0125791170934,22.8418861169916,16.6666666666667,6.51289558546712,27.7594305849579,13.3333333333333,2.2405694150421,23.4871044145329,55,"2017-02-06",1.93333333333333,1.8316227766017,1.99748417658131,23.2666666666667,23.2025158234187,23.3683772233983,25.7333333333333,9.42004084010912,41.9752220121699,19.0666666666667,2.8247779878301,35.3799591598909,70,963.4,7
"Africa",931,1,1,1,16,16,16,26.5,8.925,44.075,19.5,1.925,37.075,63,"2017-02-13",3.13333333333334,3.0316227766017,3.19748417658131,19.0666666666667,19.0025158234187,19.1683772233983,24.7333333333333,8.42004084010912,40.9752220121699,19.0666666666667,2.8247779878301,35.3799591598909,66,970,7
"Africa",1017,5,5,5,19,19,19,21,6.95789797215074,35.0421020278493,19,4.95789797215074,33.0421020278493,64,"2017-02-20",3.93333333333333,3.8316227766017,3.99748417658131,18.4666666666667,18.4025158234187,18.5683772233983,25.1190476190476,9.29175221037165,40.9919379269498,18.2809523809524,2.40806207305016,34.1082477896283,65.8,1012,7
