"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
84211,500.218282775775,246.677148288994,887.065120859054,16388.2817172242,16001.5681249801,16641.7359110241,"2016-12-19",489.75059147778,282.026503010704,824.137532188212,15691.4776854,15357.1348212135,15899.1795616447,84337.4,7
94197,630.915124581323,349.400833663021,1043.89146970382,21537.9405455218,21125.0142497294,21819.4099361975,"2016-12-26",566.871681017193,359.64322572988,906.449899588763,19170.1994530034,18830.6578934657,19377.4015401048,93460,7
104311,693.873697470152,502.728632829746,1030.26495494595,22342.1263025298,22005.735045054,22533.2713671703,"2017-01-02",667.217495383727,449.721934834085,1029.73265670193,21780.0536386369,21417.5751363526,21997.5228310006,100159,7
110690,678.088137162727,523.301682114101,970.433934253528,24723.9118628373,24431.5660657465,24878.6983178859,"2017-01-09",750.99104126587,537.681759313656,1107.431553706,23106.1800927547,22749.7495901807,23319.4803946585,104710.4,7
107386,832.992234928656,626.501377274562,1217.00780374728,23908.0077650713,23523.9921962527,24114.4986227254,"2017-01-16",864.509186966333,637.92154215949,1243.8514175279,23543.8908130337,23164.5485824721,23770.4784578405,108126.4,7
106968,919.08601218649,686.476270686847,1275.5596058794,23018.9139878135,22662.4403941206,23251.5237293132,"2017-01-23",970.526736219902,731.493610276415,1360.82932566631,23821.0732637801,23430.7706743337,24060.1063897236,110253.6,7
111277,1198.50585308364,850.599747892191,1725.99078881334,23726.4941469164,23199.0092111867,24074.4002521078,"2017-01-30",1097.56592276158,838.441699202472,1510.76288866082,23238.4340772384,22825.2371113392,23497.5583007975,110798.2,7
114947,1223.961443738,970.588973414371,1615.154495638,23728.038556262,23336.845504362,23981.4110265856,"2017-02-06",1251.39774258763,955.182354693945,1694.83668618657,22182.8022574124,21739.3633138134,22479.0176453061,110695.8,7
113413,1313.28406987113,1058.04212674439,1720.10174922608,21810.7159301289,21403.8982507739,22065.9578732556,"2017-02-13",1393.67166103525,1095.98547165314,1846.41520132795,20198.5283389647,19745.7847986721,20496.2145283469,108768.4,7
106874,1602.15133405887,1210.20465473193,2137.37679137603,18629.8486659411,18094.623208624,19021.7953452681,"2017-02-20",1489.11545935589,1222.6616063429,1894.42657681439,17497.2845406441,17091.9734231856,17763.7383936571,104580.2,7
97331,1630.45560442462,1390.49185548284,2033.4521815863,13097.5443955754,12694.5478184137,13337.5081445172,"2017-02-27",1527.60330658842,1277.18630561532,1908.75101116918,14321.9966934116,13940.8489888308,14572.4136943847,98449.2,7
90336,1675.72484468684,1483.98042134099,1966.04766624555,10220.2751553132,9929.95233375445,10412.019578659,"2017-03-06",1532.11313158616,1307.32218896096,1871.35443522456,11229.0868684138,10889.8455647754,11453.877811039,91747.8,7
84292,1416.40067990067,1243.21246977645,1686.77666741195,7851.59932009933,7581.22333258805,8024.78753022355,"2017-03-13",1474.38937584452,1276.86579939844,1761.28773792293,8495.41062415549,8208.51226207707,8692.93420060156,85736.4,7
79906,1335.83319485981,1208.72154347257,1533.11886950296,6346.16680514019,6148.88113049704,6473.27845652743,"2017-03-20",1368.93131503851,1195.98309718023,1606.71272704252,6541.26868496149,6303.48727295748,6714.21690281977,80121.8,7
76817,1313.53255535064,1057.92270691935,1587.04330486792,4961.46744464936,4687.95669513208,5217.07729308065,"2017-03-27",1212.94017700103,1050.54664919427,1423.20939305681,4970.05982299896,4759.79060694319,5132.45335080573,74173.2,7
69258,1103.16530039459,986.078344391765,1260.57712718422,3326.83469960541,3169.42287281578,3443.92165560824,"2017-04-03",1091.82035768368,939.860231118017,1274.64850929871,3747.17964231632,3564.35149070129,3899.13976888198,68612.4,7
60593,895.769154499463,756.798181411224,1048.53099631701,2364.23084550054,2211.46900368299,2503.20181858878,"2017-04-10",993.277596271717,853.936697187022,1150.3436210623,2756.52240372828,2599.4563789377,2895.86330281298,63118.6,7
56488,810.80158331388,689.780379395179,943.972248621457,1737.19841668612,1604.02775137854,1858.21962060482,"2017-04-17",855.598007536011,760.113427185006,966.674349444509,2006.20199246399,1895.12565055549,2101.686572815,56869.4,7
52437,843.11938780001,779.103873817588,911.59442832091,1392.88061219999,1324.40557167909,1456.89612618241,"2017-04-24",763.654154642824,684.448682491977,851.52476503558,1605.94584535718,1518.07523496442,1685.15131750802,52163.4,7
45571,625.134611672112,588.806356909275,668.696946778953,1209.86538832789,1166.30305322105,1246.19364309073,"2017-05-01",699.165227665717,640.152288363014,765.478573414968,1445.03477233428,1378.72142658503,1504.04771163699,49035,7
45728,643.446035928655,607.754620926619,684.829205139574,1325.55396407135,1284.17079486043,1361.24537907338,"2017-05-08",648.861283686553,604.45167351945,699.847074698995,1422.33871631345,1371.35292530101,1466.74832648055,46713.4,7
44951,573.32451961393,535.316210766409,618.300038213944,1559.67548038607,1514.69996178606,1597.68378923359,"2017-05-15",583.56426033001,546.819059945656,628.156403846676,1526.83573966999,1482.24359615332,1563.58094005435,44509.6,7
44880,559.281863418061,511.277305177358,615.814755041594,1623.71813658194,1567.18524495841,1671.72269482264,"2017-05-22",550.015783459741,515.902031262861,591.993270385126,1722.58421654026,1680.60672961487,1756.69796873714,43239.4,7
41418,516.634271017296,490.940805948621,553.141074059317,1915.3657289827,1878.85892594068,1941.05919405138,"2017-05-29",495.780658016096,463.936952585848,535.110464400692,1945.2193419839,1905.88953559931,1977.06304741415,41761.2,7
39220,457.392227320763,434.221213495299,487.881279471203,2188.60777267924,2158.1187205288,2211.7787865047,"2017-06-05",455.674911445008,425.981576405846,492.183403438154,2183.32508855499,2146.81659656185,2213.01842359416,40009.2,7
38337,372.270408710431,347.929227541554,400.415175217403,2438.72959128957,2410.5848247826,2463.07077245845,"2017-06-12",426.062044941207,400.061117146784,458.19847310005,2501.73795505879,2469.60152689995,2527.73888285322,38194.6,7
36191,372.795786758492,345.539329866399,403.664733401252,2750.20421324151,2719.33526659875,2777.4606701336,"2017-06-19",428.965118744647,401.418509578951,461.610902306371,2826.83488125535,2794.18909769363,2854.38149042105,37005.8,7
35807,411.217530899053,381.675008882047,445.890103351075,3215.78246910095,3181.10989664893,3245.32499111795,"2017-06-26",432.870816592953,403.543842536182,467.36677314627,3208.92918340705,3174.43322685373,3238.25615746382,36310.6,7
35474,531.149640034495,497.727768109457,570.203220090924,3540.85035996551,3501.79677990908,3574.27223189054,"2017-07-03",466.117151166991,432.294706442193,505.996804808262,3542.48284883301,3502.60319519174,3576.30529355781,35455.6,7
35744,476.920716562296,444.847878281454,516.660633670698,4099.0792834377,4059.3393663293,4131.15212171855,"2017-07-10",482.837927034957,446.411683998878,526.81545968625,3751.36207296504,3707.38454031375,3787.78831600112,34733.8,7
34062,538.502081580618,491.683547071605,593.565333527364,4106.49791841938,4051.43466647264,4153.31645292839,"2017-07-17",546.300542460284,506.428936686563,594.982442344347,3713.09945753972,3664.41755765565,3752.97106331344,33962.6,7
32582,456.399666098323,416.124217649826,507.758007791189,3794.60033390168,3743.24199220881,3834.87578235017,"2017-07-24",619.688679892589,578.273585174352,671.384506178434,3569.08274867884,3517.39785416849,3610.49445670443,33215.6,7
31951,728.530608025685,681.761272320473,786.72501664156,3024.46939197431,2966.27498335844,3071.23872767953,"2017-07-31",684.885570651637,640.281661378731,739.96396824749,3215.48585791979,3160.41839209943,3260.08638050006,32507,7
31739,898.090327196021,856.9510105484,952.213539261361,2820.76681566112,2766.69826247324,2861.88919884553,"2017-08-07",691.734284616115,648.749117382276,745.636416122812,2847.83714395531,2793.94594422411,2890.81892449651,32153.2,7
32201,802.905170357539,754.888259303349,859.557944015978,2331.09482964246,2274.44205598402,2379.11174069665,"2017-08-14",712.109934665568,669.497436319482,764.57376974627,2509.06149390586,2456.60859060065,2551.6706055593,32142.6,7
32293,572.745651403005,534.02082708933,621.927572903972,2268.25434859699,2219.07242709603,2306.97917291067,"2017-08-21",667.773705352172,628.980915149423,714.873229358098,2255.39772321926,2208.30913098882,2294.18712672936,32214.8,7
32529,558.277916345589,519.865812335859,602.444775908479,2100.72208365441,2056.55522409152,2139.13418766414,"2017-08-28",587.73374788635,551.124392397275,631.142683970132,2159.86625211365,2116.45731602987,2196.47560760273,33344.6,7
32312,506.849461458706,479.178666470179,538.222314700703,1756.15053854129,1724.7776852993,1783.82133352982,"2017-09-04",492.787808831203,460.46642831868,530.980067644585,2038.0121911688,1999.81993235541,2070.33357168132,34417.8,7
37388,497.890539866911,467.668396787658,533.56081232153,2343.10946013309,2307.43918767847,2373.33160321234,"2017-09-11",472.001462386782,442.055901525447,506.309393468252,1908.59853761322,1874.29060653175,1938.54409847456,36141.2,7
37567,328.175475081802,301.598438910375,358.744862388243,1721.8245249182,1691.25513761176,1748.40156108962,"2017-09-18",482.764911817026,454.324572396267,515.23454809842,1717.03508818297,1684.56545190158,1745.47542760373,38272.4,7
40910,468.813919180904,441.968193123161,498.574202022307,1621.1860808191,1591.42579797769,1648.03180687684,"2017-09-25",510.091877779681,481.803421598257,542.847908543569,1643.90812222032,1611.15209145643,1672.19657840174,42092.8,7
43185,612.095163496807,581.20916668996,647.070549059319,1142.90483650319,1107.92945094068,1173.79083331004,"2017-10-02",530.743077666274,504.827731793261,560.8903361519,1442.65692233373,1412.5096638481,1468.57226820674,45087.6,7
51414,643.484291271979,616.572912480131,676.289116926448,1390.51570872802,1357.71088307355,1417.42708751987,"2017-10-09",643.124485218681,616.212639780952,674.700138571451,1390.47551478132,1358.89986142855,1417.38736021905,48579.6,7
52362,601.146539299875,582.789947762679,623.772950363183,1336.85346070012,1314.22704963682,1355.21005223732,"2017-10-16",735.303379788986,706.664368444708,768.51536983215,1394.89662021101,1361.68463016785,1423.53563155529,52078.4,7
55027,890.08251284384,858.52297884883,927.793874486001,1460.91748715616,1423.206125514,1492.47702115117,"2017-10-23",857.369334325995,825.176063613507,894.249323416927,1535.630665674,1498.75067658307,1567.82393638649,55809.2,7
58404,929.708392032428,894.22683644194,967.6503583258,1643.29160796757,1605.3496416742,1678.77316355806,"2017-10-30",1008.1917145874,968.911668441564,1052.24381664365,1705.4082854126,1661.35618335635,1744.68833155844,58490.8,7
61839,1222.42493618185,1173.76764253396,1275.7403169832,1846.57506381815,1793.2596830168,1895.23235746604,"2017-11-06",1225.43828220042,1177.48790788529,1281.10508046938,2030.96171779958,1975.29491953062,2078.91209211471,61387.2,7
64822,1397.59619257899,1335.25093662042,1466.26158306005,2239.40380742101,2170.73841693995,2301.74906337958,"2017-11-13",1423.63809801261,1368.71608826482,1485.94586277519,2527.76190198739,2465.45413722481,2582.68391173518,65044.6,7
66844,1687.37937736497,1625.67114498132,1768.07926949186,2964.62062263503,2883.92073050814,3026.32885501868,"2017-11-20",1708.96695666028,1640.97090041827,1786.72046494922,3331.63304333972,3253.87953505078,3399.62909958173,69610.4,7
73314,1881.08159190479,1814.66388074645,1951.99778601503,3944.91840809521,3874.00221398497,4011.33611925355,"2017-11-27",2055.41170855508,1967.93927180533,2154.07014264035,4743.98829144492,4645.32985735965,4831.46072819467,75743,7
