"test","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
84211,492.43364389234,314.556916082468,671.448302394878,390.56635610766,211.551697605122,568.443083917532,"2016-12-19",451.185131784238,284.144740323671,620.308206274598,392.014868215762,222.891793725401,559.055259676329,84337.4,7
94197,528.12990105133,345.208261470881,717.361861183932,452.87009894867,263.638138816068,635.791738529118,"2016-12-26",490.295010963717,310.601457154611,675.083794977316,495.704989036283,310.916205022683,675.398542845389,93460,7
104311,489.68404725334,308.049880181571,679.074642325084,594.31595274666,404.925357674916,775.950119818429,"2017-01-02",550.875771302668,349.065265132057,760.783296453717,635.924228697332,426.016703546283,837.734734867943,100159,7
110690,568.63202189209,349.87261350953,797.430389179916,755.36797810791,526.569610820084,974.12738649047,"2017-01-09",603.075606208963,379.945537151203,838.096574482507,803.524393791037,568.503425517493,1026.6544628488,104710.4,7
107386,675.499242424242,427.638654415833,938.601287184775,986.500757575757,723.398712815225,1234.36134558417,"2017-01-16",689.535823643158,429.589075236408,963.90554893647,1059.86417635684,785.494451063529,1319.81092476359,108126.4,7
106968,753.432818423812,468.958276178202,1058.01469253883,1228.56718157619,923.985307461172,1513.0417238218,"2017-01-23",859.638222267024,540.376467182262,1196.86878459153,1401.56177773298,1064.33121540847,1720.82353281774,110253.6,7
111277,960.430988222304,593.425951896905,1346.40673345375,1734.5690117777,1348.59326654625,2101.57404810309,"2017-01-30",1091.16493405658,698.264834359882,1504.25204292895,1847.63506594342,1434.54795707105,2240.53516564012,110798.2,7
114947,1340.19604037267,861.98683991084,1843.89082060036,2302.80395962733,1799.10917939964,2781.01316008916,"2017-02-06",1304.96142565715,852.613190797212,1778.53411134487,2350.03857434285,1876.46588865513,2802.38680920279,110695.8,7
113413,1726.26558083985,1139.31444939763,2334.34668086705,2985.73441916015,2377.65331913295,3572.68555060237,"2017-02-13",1503.8727240056,972.894228332905,2058.0170649184,2773.3272759944,2219.1829350816,3304.3057716671,108768.4,7
106874,1744.48170042712,1199.38043660248,2310.01162926436,3498.51829957288,2932.98837073564,4043.61956339752,"2017-02-20",1658.24942328482,1065.75469417761,2277.49715064144,3149.95057671518,2530.70284935856,3742.44530582239,104580.2,7
97331,1747.98931016608,1070.36346385666,2455.42946040647,3345.01068983392,2637.57053959353,4022.63653614334,"2017-02-27",1767.81567039562,1131.48075771584,2431.17561534659,3504.98432960438,2841.62438465341,4141.31924228415,98449.2,7
90336,1732.31448461839,1057.72828112041,2443.80716206897,3617.68551538161,2906.19283793103,4292.27171887959,"2017-03-06",1869.44584564981,1200.1898920833,2566.22888297047,3808.35415435019,3111.57111702953,4477.6101079167,91747.8,7
